SITEID,count,UNDERAGE1,UNDERAGE2,IL,TITLE,lng,lat
50010510000039,7662,85,20,1,江北****会所）,106.569253,29.586056
50010510000040,4554,30,10,1,乌托****网吧）,106.488929,29.602083
50010510000041,0,0,0,0,江北****启网吧,106.534991,29.58135
50010510000042,0,0,0,0,江北****儿网吧,106.492853,29.593183
50010510000043,6709,0,7,0,江北****会所）,106.550808,29.587238
50010510000044,2000,24,8,1,江北****风网吧,106.609207,29.609128
50010510000045,5216,0,1,0,江北****验吧),106.580741,29.61691
50010510000046,8307,0,19,0,江北****闲网吧,106.538275,29.577077
50010510000048,6428,243,28,1,江北****潮网吧,106.538727,29.587331
50010510000049,12800,0,21,1,江北****会所）,106.496381,29.583907
50010510000050,14248,417,19,1,江北****族网吧,106.46918,29.569437
50010510000051,8344,511,45,1,江北****会所）,106.530324,29.590497
50010510000052,3014,151,8,1,江北****渝网吧,106.484774,29.589275
50010510000053,9001,0,35,1,江北****奇网吧,106.713615,29.619318
50010510000054,5196,49,10,1,江北****会所）,106.485834,29.58671
50010510000055,0,0,0,0,江北****络会所,106.654045,29.626645
50010510000056,4086,440,6,1,江北****网吧）,106.535837,29.578951
50010510000057,1779,0,8,0,江北****垣网吧,106.503088,29.574069
50010510000058,14172,568,31,1,江北****会所）,106.653753,29.626325
50010510000059,0,0,0,0,江北****风网吧,106.713615,29.619318
50010510000060,10225,107,61,1,江北****天网吧,106.565767,29.590358
50010510000061,7579,170,15,1,江北****会所),106.543003,29.572391
50010510000062,5279,222,64,1,江北****萝网吧,106.496426,29.575327
50010510000063,5423,580,16,1,江北****会所）,106.532611,29.586079
50010510000064,9549,27,11,1,江北****堡网吧,106.536506,29.568164
50010510000065,4168,249,23,1,江北****顺网吧,106.767665,29.628813
50010510000066,1762,0,3,0,江北****会所）,106.538727,29.587331
50010510000067,3853,24,1,1,江北****盒网吧,106.529686,29.581309
50010510000068,0,0,0,0,江北****会所）,106.548088,29.577105
50010510000069,15407,0,27,1,江北****会所),106.538964,29.580443
50010510000070,19548,1707,74,1,江北****会所）,106.560054,29.582411
50010510000071,6548,684,12,1,江北****网吧）,106.713615,29.619318
50010510000072,4552,2,24,1,江北****嘴网吧,106.76896,29.629966
50010510000073,5274,106,20,1,江北****华网吧,106.525883,29.567685
50010510000074,14180,0,27,1,江北****网络）,106.536607,29.578744
50010510000075,7362,0,39,1,江北****会所）,106.544609,29.580694
50010510000076,9422,1034,29,1,江北****会所),106.49793,29.574696
50010510000077,0,0,0,0,江北****竹网吧,106.757505,29.643021
50010510000078,12597,0,32,1,江北****会所）,106.538339,29.578363
50010510000079,0,0,0,0,江北****扬网吧,106.491248,29.589127
50010510000080,4385,5,27,1,江北****点网吧,106.76896,29.629966
50010510000081,4511,204,15,1,江北****山网吧,106.56346,29.591489
50010510000082,9046,0,72,1,江北****场网吧,106.539337,29.57524
50010510000083,11097,1214,43,1,江北****辉网吧,106.713615,29.619318
50010510000085,9923,0,13,0,江北****会所）,106.487278,29.574163
50010510000086,0,0,0,0,江北****圣网吧,106.563819,29.586063
50010510000087,5307,247,90,1,江北****居网吧,106.543705,29.57776
50010510000088,0,0,0,0,江北****帕网吧,106.542134,29.589009
50010510000089,0,0,0,0,江北****城网吧,106.542096,29.584003
50010510000090,13228,1,29,1,江北****络会所,106.558792,29.582406
50010510000091,0,0,0,0,江北****人网吧,106.489806,29.576198
50010510000092,5714,53,12,1,江北****网吧）,106.713615,29.619318
50010510000093,6528,23,18,1,江北****湾网吧,106.53476,29.583821
50010510000094,0,0,0,0,江北****会所）,106.534034,29.564925
50010510000095,22697,472,49,1,重庆****会所）,106.667642,29.613772
50010510000096,0,0,0,0,江北****兰网吧,106.543041,29.575286
50010510000097,0,0,0,0,江北****林网吧,106.494824,29.572803
50010510000098,0,0,0,0,江北****雅网吧,106.534236,29.590561
50010510000099,3335,1,13,1,江北****辉网吧,106.713615,29.619318
50010510000100,9576,716,12,1,江北****者网吧,106.469713,29.57077
50010510000101,7318,117,16,1,江北****谷网吧,106.580331,29.617963
50010510000102,1384,0,5,0,江北****光网吧,106.66562,29.612243
50010510000103,0,0,0,0,江北****会所）,106.497892,29.572686
50010510000104,2792,5,13,1,江北****禧网吧,106.533023,29.578834
50010510000105,5282,37,1,1,江北****会所）,106.534763,29.562017
50010510000106,6414,92,25,1,江北****线网吧,106.532288,29.577392
50010510000107,3866,5,4,1,江北****涛网吧,106.575739,29.605594
50010510000108,2483,41,2,1,江北****网吧）,106.693223,29.590519
50010510000109,0,0,0,0,江北****益网吧,106.693223,29.590519
50010510000110,5357,757,9,1,江北****爱网吧,106.687046,29.581095
50010510000111,7169,122,13,1,江北****网吧）,106.547907,29.578752
50010510000112,5953,258,36,1,江北****会所）,106.53799,29.588964
50010310000136,5827,0,34,1,渝中****爽网吧,106.559386,29.559703
50010310000139,9230,0,96,1,渝中****园网吧,106.564703,29.569134
50010310000140,8115,0,0,0,渝中****子网吧,106.555508,29.556424
50010310000141,12445,0,204,1,渝中****玲网吧,106.523641,29.543564
50010310000142,0,0,0,0,渝中****天网吧,106.517554,29.536215
50010310000144,5512,0,20,0,渝中****魔网吧,106.531313,29.555419
50010310000145,0,0,0,0,渝中****网吧 ,106.558897,29.567211
50010310000146,0,0,0,0,渝中****使网吧,106.542213,29.554029
50010310000147,0,0,0,0,渝中****阵网吧,106.585955,29.560937
50010310000149,0,0,0,0,渝中****禧网吧,106.585058,29.562275
50010310000150,16925,0,139,1,渝中****天网城,106.526213,29.54651
50010310000151,0,0,0,0,渝中****禾网吧,106.566559,29.563275
50010310000152,3693,0,5,0,渝中****光网吧,106.583128,29.555946
50010310000157,3372,0,18,0,渝中****秋网吧,106.556196,29.555553
50010310000162,5899,0,1,0,渝中****源天地,106.575309,29.562821
50010310000163,5815,0,24,1,渝中****感网吧,106.517554,29.536215
50010310000165,0,0,0,0,渝中****境网吧,106.59138,29.565154
50010310000167,0,0,0,0,渝中****网吧）,106.555522,29.558695
50010310000172,0,0,0,0,渝中****黑网吧,106.569826,29.562121
50010310000173,0,0,0,0,渝中****辉网吧,106.579879,29.563012
50010310000174,6257,0,9,0,渝中****情网吧,106.521976,29.541863
50010310000175,0,0,0,0,渝中****圣网吧,106.573266,29.560645
50010310000179,0,0,0,0,渝中****禾网吧,106.568431,29.560983
50010310000180,12773,0,23,1,渝中****土网吧,106.560397,29.569269
50010310000181,3041,0,13,0,渝中****网吧),106.576432,29.562282
50010310000225,0,0,0,0,渝中****仲网吧,106.573651,29.563425
50010310000226,6533,0,5,0,渝中****土网吧,106.585451,29.559489
50010310000228,9629,0,13,0,渝中****事通）,106.566933,29.56189
50010410000040,7203,0,19,0,大渡****络会所,106.496898,29.495405
50010410000041,0,0,0,0,大渡****昊网吧,106.484794,29.480492
50010410000042,5323,0,12,0,大渡****木网吧,106.488974,29.475414
50010410000043,0,0,0,0,大渡****力网吧,106.49316,29.488201
50010410000044,12501,0,65,1,大渡****来网吧,106.493422,29.485359
50010410000045,0,0,0,0,大渡****（络）,106.495661,29.4954
50010410000046,0,0,0,0,大渡****击网吧,106.478323,29.416174
50010410000047,0,0,0,0,大渡****腾网吧,106.48915,29.48141
50010410000048,0,0,0,0,大渡****特网吧,106.501839,29.496287
50010410000049,5685,0,15,0,大渡****尔网吧,106.502854,29.495375
50010410000050,0,0,0,0,大渡****意网吧,106.485063,29.460774
50010410000051,8476,0,38,1,大渡****线网吧,106.486104,29.479997
50010410000052,3379,0,8,0,大渡****巢网吧,106.4861,29.479998
50010410000053,5860,0,20,0,大渡****络会所,106.489861,29.48479
50010410000055,7679,0,52,1,大渡****下网吧,106.491814,29.495342
